subject,session,reaction_time
Q,1,1.728193548
N,1,1.669
M,1,1.783410256
fRG5-1a,1,1.368888889
fRG5-1b,1,1.0765625
fRG5-1c,1,1.950142857
P,1,1.566380952
Q,2,1.6174375
N,2,1.84515625
M,2,1.741526316
fRG5-1a,2,1.454083333
fRG5-1b,2,1.986428571
fRG5-1c,2,1.772066667
P,2,1.977230769
Q,3,1.6233
N,3,1.798026316
M,3,1.634229508
fRG5-1a,3,1.738142857
fRG5-1b,3,1.92935
fRG5-1c,3,2.178833333
P,3,1.720633333
Q,4,2.034393939
N,4,1.898162791
M,4,2.020042857
fRG5-1a,4,2.212
fRG5-1b,4,1.496909091
fRG5-1c,4,1.788666667
P,4,1.846153846
Q,5,1.592263158
N,5,1.746757576
M,5,1.768097826
fRG5-1a,5,1.679454545
fRG5-1b,5,1.993375
fRG5-1c,5,2.04325
P,5,2.430785714